x,y
-0.791297,0.198127
-0.683481,0.0207492
-0.527745,-0.257623
-0.788902,0.203049
-0.680785,-0.161243
-0.452899,-0.394859
-0.81884,0.257944
-0.725496,-0.131499
-0.498777,-0.390138
-0.800489,0.256055
-0.679804,-0.00242202
-0.515683,-0.273762
-0.793727,0.209505
-0.682509,0.016198
-0.726996,0.0935208
-0.709201,0.0625917
-0.56403,-0.236111
-0.774388,0.194444
-0.666313,-0.161978
-0.733475,0.164791
-0.70661,0.0340836
-0.717356,0.0863666
-0.579737,-0.221304
-0.768105,0.188522
-0.692758,0.0245914
-0.722897,0.0901634
-0.710841,0.0639346
-0.565813,-0.235746
-0.33572,-0.405492
-0.0929499,-0.442462
0.106343,-0.373451
0.230201,-0.241286
0.271467,-0.0912967
-1.10859,0.136519
-0.897133,-0.339681
-0.641147,0.235872
-0.58162,-0.0771958
-0.411153,-0.291317
-0.19595,-0.385862
-0.92162,0.254345
-0.631352,-0.00173794
-0.747459,0.100695
-0.608347,-0.222455
-0.373362,-0.412405
-0.850655,0.264962
-0.659738,-0.00598478
-0.499007,-0.268444
-0.271868,-0.40362
-0.0451716,-0.415498
-0.981931,0.266199
-0.852748,-0.190461
-0.658901,0.176184
-0.73644,0.0295262
-0.571505,-0.272136
-0.325489,-0.435425
-0.0732017,-0.461119
0.128814,-0.379731
-1.05153,0.251892
-0.899916,-0.229172
-0.592268,-0.534137
-0.763093,0.313655
-0.694763,-0.025462
-0.517835,-0.297256
-0.274652,-0.433049
-0.0355161,-0.438978
-0.985794,0.275591
-0.85944,-0.184868
-0.579227,-0.484276
-0.768309,0.29371
-0.701399,-0.0841039
-0.499422,-0.344479
-0.241769,-0.461572
-0.903292,0.284629
-0.800354,-0.144999
-0.679858,0.158
-0.579892,-0.151864
-0.768043,0.160745
-0.692783,0.0357018
-0.540796,-0.24998
-0.311013,-0.406303
-0.875595,0.262521
-0.770461,-0.150722
-0.525261,-0.422733
-0.789895,0.269093
-0.684042,-0.00763726
-0.726383,0.103055
-0.593273,-0.212232
-0.762691,0.184893
-0.694924,0.0260429
-0.722031,0.0895828
-0.584576,-0.220729
-0.766169,0.188292
-0.657605,-0.163366
-0.434434,-0.3872
-0.175289,-0.468046
-0.929884,0.287218
-0.821599,-0.153668
-0.67136,0.161467
-0.731456,0.0354132
-0.707418,0.0858347
-0.717033,0.0656661
-0.571211,-0.236907
-0.339358,-0.408534
-0.0944985,-0.446229
0.106673,-0.376933
0.231845,-0.2438
0.273722,-0.0925504
-1.10949,0.13702
-0.556204,0.0451919
-0.777518,0.0819232
-0.688993,0.0672307
-0.724403,0.0731077
-0.579789,-0.234199
-0.34696,-0.409907
-0.0997268,-0.450314
0.104333,-0.382129
-1.04173,0.252852
-0.892858,-0.224526
-0.642857,0.18981
-0.564495,-0.112887
-0.774202,0.145155
-0.646455,-0.199363
-0.741418,0.179745
-0.635376,-0.159961
-0.418901,-0.37572
-0.83244,0.250288
-0.667024,-0.000115272
-0.73319,0.100046
-0.597243,-0.217241
-0.367008,-0.404
-0.853197,0.2616
-0.658721,-0.00464007
-0.498772,-0.267015
-0.800491,0.206806
-0.691096,-0.163024
-0.723562,0.16521
-0.615991,-0.163865
-0.753604,0.165546
-0.698559,0.0337815
-0.720577,0.0864874
-0.582233,-0.2225
-0.353497,-0.401993
-0.10786,-0.446914
-0.956856,0.278766
-0.838717,-0.170881
-0.664513,0.168352
-0.572371,-0.137858
-0.771052,0.155143
-0.648056,-0.190512
-0.740777,0.176205
-0.633473,-0.162395
-0.416481,-0.37681
-0.165802,-0.452968
-0.933679,0.281187
-0.626528,-0.0124748
-0.471172,-0.260092
-0.254054,-0.386139
-0.0386252,-0.395087
-0.98455,0.258035
-0.851472,-0.197714
-0.659411,0.179085
-0.736235,0.0283658
-0.705506,0.0886537
-0.717798,0.0645385
-0.712881,0.0741846
-0.571463,-0.228772
-0.342803,-0.402452
-0.862879,0.260981
-0.76018,-0.146806
-0.695928,0.158722
-0.592394,-0.157742
-0.763042,0.163097
-0.694783,0.0347613
-0.722087,0.0860955
-0.711165,0.0655618
-0.715534,0.0737753
-0.713786,0.0704899
-0.714485,0.071804
-0.571731,-0.231223
-0.342026,-0.404422
-0.86319,0.261769
-0.654724,-0.00470748
-0.495707,-0.265467
-0.270551,-0.400038
-0.0456032,-0.412249
0.130241,-0.331551
0.231604,-0.199882
-1.09264,0.179953
-0.562943,0.0280189
-0.439045,-0.203883
-0.824382,0.181553
-0.670247,0.0273787
-0.731901,0.0890485
-0.70724,0.0643806
-0.717104,0.0742478
-0.713158,0.0703009
-0.570121,-0.231835
-0.771952,0.192734
-0.663777,-0.162303
-0.734489,0.164921
-0.62418,-0.168456
